TAZID,CO_TAZID,DEVACRES,SA_2016
1805,491805,207.13,0
1808,491808,708.62,0
1799,491799,604.1,0
1806,491806,3336.95,0
1822,491822,413.13,0
1823,491823,241.34,0
1831,491831,212.17,0
1813,491813,651.37,0
1834,491834,669.17,0
1817,491817,235.91,0
1839,491839,1276.16,0
1842,491842,275.18,0
1853,491853,438,0
1857,491857,153.74,0
1865,491865,192.74,0
1866,491866,97.45,0
1867,491867,170.39,0
1828,491828,161.1,0
1869,491869,90.15,0
1868,491868,204.21,0
1876,491876,182.12,0
1877,491877,195.66,0
1878,491878,166.98,0
1879,491879,205.47,0
1880,491880,107.2,0
1881,491881,224.45,0
1882,491882,278.74,0
1885,491885,184.8,0
1888,491888,256.08,0
1893,491893,373.42,0
1897,491897,86.85,0
1898,491898,845.4,0
1900,491900,159.57,0
1901,491901,129.88,0
1902,491902,127.97,0
1899,491899,496.77,0
1906,491906,1093.76,0
1903,491903,378.16,0
1904,491904,84.62,0
1905,491905,185.87,0
1910,491910,137.03,0
1921,491921,183.25,0
1918,491918,361.69,0
1922,491922,239.85,0
1923,491923,300.48,0
1924,491924,166.45,0
1925,491925,153.11,0
1926,491926,144.79,0
1927,491927,979.03,0
1928,491928,223.4,0
1929,491929,242.17,0
1932,491932,228.58,0
1934,491934,284.06,0
1937,491937,293.11,0
1939,491939,279.36,0
1940,491940,159.86,0
1938,491938,238.7,0
1941,491941,207.07,0
1942,491942,446.69,0
1945,491945,164.19,0
1943,491943,384.58,0
1944,491944,425.11,0
1946,491946,318.68,0
1947,491947,158.37,0
1948,491948,330.52,0
1949,491949,143.76,0
1951,491951,167.11,0
1952,491952,146.98,0
1953,491953,261.23,0
1954,491954,80.54,0
1956,491956,163.19,0
1962,491962,200.1,0
1963,491963,230.32,0
1964,491964,90.76,0
1965,491965,201.58,0
1967,491967,89.16,0
1966,491966,108.9,0
1968,491968,70.43,0
1971,491971,112.63,0
1972,491972,135.91,0
1973,491973,178.64,0
1978,491978,120.42,0
1979,491979,231.02,0
1981,491981,275.17,0
1980,491980,79.63,0
1983,491983,151.42,0
1984,491984,126.21,0
1987,491987,105.8,0
1982,491982,343.55,0
1989,491989,197.39,0
1908,491908,678.38,0
1991,491991,776.84,0
1993,491993,122.27,0
1996,491996,259.74,0
1994,491994,81.85,0
1995,491995,78.97,0
1997,491997,362.08,0
1998,491998,188.52,0
1999,491999,188.17,0
2001,492001,335.97,0
2000,492000,145.41,0
2002,492002,121.31,0
2003,492003,157.13,0
2004,492004,264.18,0
2005,492005,217.41,0
2006,492006,156.21,0
2007,492007,251.68,0
2008,492008,127.39,0
2009,492009,166.57,0
2010,492010,215.59,0
2012,492012,861.2,0
1630,351630,665.42,2
2014,492014,165.04,0
2015,492015,241.27,0
2016,492016,184,0
2017,492017,164.94,0
2018,492018,215.21,0
2020,492020,251.23,0
2024,492024,81.35,0
2023,492023,91.08,0
2025,492025,168.91,0
2027,492027,195.32,0
2028,492028,367.55,0
2030,492030,159.39,0
2029,492029,173.6,0
2033,492033,83.12,0
2035,492035,40.03,0
2034,492034,167.99,0
2036,492036,91.48,0
2037,492037,85.2,0
2032,492032,193.41,0
2038,492038,118.91,0
2039,492039,102.81,0
2040,492040,90.42,0
2041,492041,163.17,0
2042,492042,113.95,0
2043,492043,99.79,0
2026,492026,170.31,0
2045,492045,87.18,0
2046,492046,111.47,0
2048,492048,171.23,0
2049,492049,373,0
2051,492051,125.04,0
2052,492052,168.96,0
2053,492053,205.5,0
2055,492055,132.45,0
2060,492060,144.63,0
2061,492061,163.5,0
2062,492062,316.11,0
2063,492063,151.03,0
2065,492065,167.43,0
2066,492066,235.31,0
2050,492050,267.22,0
2067,492067,168.51,0
2068,492068,160.22,0
2064,492064,203.98,0
2069,492069,154.02,0
2070,492070,193.27,0
2071,492071,160.94,0
2072,492072,206.49,0
2074,492074,164.19,0
2075,492075,81.13,0
2076,492076,86.32,0
2077,492077,112.75,0
2073,492073,111.79,0
2080,492080,186.6,0
2079,492079,368.15,0
2081,492081,109.67,0
2082,492082,103.32,0
2078,492078,90.36,0
2083,492083,492.8,0
2084,492084,147.4,0
2086,492086,77.98,0
2087,492087,88.51,0
2085,492085,122.97,0
2095,492095,52.56,0
2088,492088,59.02,0
2090,492090,95.35,0
2054,492054,259.56,0
2091,492091,69.56,0
2092,492092,114.74,0
2093,492093,31.15,0
2094,492094,125.78,0
2056,492056,148.05,0
2096,492096,118.71,0
2097,492097,27.18,0
2100,492100,22.27,0
2101,492101,310.73,0
2102,492102,29.37,0
2104,492104,181.52,0
2105,492105,219.67,0
2108,492108,167,0
2109,492109,70.17,0
2113,492113,110.32,0
2114,492114,333.06,0
2111,492111,95.69,0
2115,492115,102.61,0
2116,492116,195.42,0
2118,492118,279.98,0
2123,492123,596.04,0
2127,492127,382.78,0
2134,492134,175.66,0
2136,492136,195.84,0
2137,492137,201.69,0
2126,492126,130.56,0
2139,492139,313.89,0
2142,492142,169.78,0
2146,492146,306.47,0
2147,492147,267.07,0
2148,492148,161.04,0
2143,492143,263.72,0
2155,492155,308.07,0
2156,492156,195.44,0
2138,492138,141.45,0
2159,492159,135.92,0
2160,492160,195.34,0
2162,492162,249.91,0
2163,492163,402.37,0
2164,492164,418.77,0
2154,492154,303.01,0
2169,492169,195.34,0
2168,492168,240.42,0
2170,492170,328.33,0
2165,492165,391.06,0
2058,492058,141.3,0
2171,492171,196.54,0
2167,492167,183.97,0
2174,492174,96.06,0
2175,492175,99.65,0
2176,492176,273.18,0
2173,492173,133.7,0
2177,492177,43.38,0
2178,492178,74.83,0
2179,492179,147.87,0
2181,492181,150.77,0
2182,492182,39.77,0
2186,492186,181.22,0
2188,492188,81.17,0
2187,492187,125.29,0
2172,492172,152.57,0
2189,492189,66.94,0
